pi_id,inst_id
427533,19
402035,155
398928,163
328636,38
330664,44
481886,222
513795,277
342321,394
534986,49
362108,24
485752,385
495286,2079
426203,44
268843,2340
78436,291
289727,31
530846,3303
498919,172
438802,541
559409,47
564245,102
423780,38
521614,126
549910,86
315938,64
538607,84
503360,51
426630,78
84348,366
560676,130
387907,34
331999,2204
505325,394
349727,4660
562329,927
398928,427
67079,3009
451421,394
487796,74
511736,119
496947,47
485983,126
64774,220
487172,166
268907,44
292429,19
488657,95
183505,38
557452,216
379286,431
344235,39
437706,147
541641,254
302291,541
364451,13
250753,41
561826,400
533247,1438
491861,55
34466,2151
269299,136
500891,66
474312,10
386462,103
456694,94
150157,84
359702,574
511217,115
431233,190
213689,5627
551560,117
538211,85
358210,112
523270,310
514935,172
482838,66
522181,70
250071,128
13807,39
157782,394
294774,56
563217,625
526053,77
297854,32
564848,9035
546736,493
486078,86
269497,416
551789,335
348026,46
117556,126
502435,138
560700,55
451985,243
520671,19
425107,12
530960,32
434663,2908
165765,668
342646,238
483452,68
453272,821
563364,3129
336959,4950
553459,5
260233,59
537136,78
11973,675
560806,1219
414805,559
456214,131
478206,331
257195,69
431463,144
483530,5
539892,94
381230,1674
526918,38
237170,144
39811,104
451371,2123
485996,249
545346,10
113182,89
69809,93
547942,1365
516989,85
559721,137
548368,17
554912,929
398928,286
290244,22
522463,56
126281,133
456647,64
438120,51
558051,234
550942,68
500416,68
343600,217
493579,22
526004,117
385767,4
538992,294
460450,78
539233,24
550254,6
480524,9797
440745,79
498904,65
513778,126
179862,10
518328,104
282208,105
534440,169
534304,2
521358,391
435564,1952
457714,936
423906,22
411868,199
551496,11721
534310,154
462903,1321
233000,650
525751,65
532660,421
485938,310
333153,32
517826,5
461949,19
408895,16
557605,23
157558,16
44248,166
535422,8400
487898,119
544475,125
531443,136
549985,122
486250,391
443283,5142
550817,141
442255,144
353712,2415
542480,94
540411,49
333038,10
539504,190
343711,5930
519748,24
352753,1720
558132,126
497008,117
491568,74
528005,217
440750,190
386978,86
116324,161
483394,68
201138,12
448964,131
558784,186
518632,16
496746,69
400450,138
421209,136
383805,71
212811,163
536901,220
486167,137
438201,163
303688,22
440694,34
558495,31
470173,49
541752,6478
212818,77
260354,27
412811,84
516957,126
449095,117
40981,2254
465048,597
468762,39
527613,206
491613,599
320658,59
269283,2017
548369,297
551390,12178
528451,17
495586,783
466322,5
29971,117
507725,291
447088,99
555929,118
226637,128
122236,96
543606,448
530335,1210
541946,64
540124,131
213490,70
560643,4988
564207,31
533297,19
392005,74
85148,68
549887,5
421545,164
497247,83
550461,9035
31436,147
521588,2
451695,131
328286,93
402216,63
502137,220
384407,34
485773,64
33860,2138
494327,69
522601,223
565127,125
550644,47
416761,19
67080,3009
138647,187
541367,141
401746,49
5533,444
171437,104
243686,400
552769,27
401064,104
516944,166
519078,400
495030,16
443029,93
78948,112
549268,136
475365,161
250064,250
39192,192
541569,125
554983,68
210755,802
416891,47
527253,437
430331,1998
398928,22
387219,59
415190,250
559547,32
435983,59
259496,294
561046,84
560203,68
409333,49
426359,64
561187,144
402505,49
549648,131
284903,38
398928,1231
462213,38
525556,123
527522,115
232487,102
329343,62
338379,13
432210,47
79772,153
441459,184
372103,70
560562,112
532865,249
451149,2609
543243,172
435267,85
486525,24
494668,38
531850,131
526907,19
555803,194
477302,293
489148,1970
348892,115
554238,50
563440,9035
398464,154
558109,3
279984,223
515828,8
258892,109
296399,77
317052,68
553660,68
508452,32
544813,229
438346,10
16489,3
520219,9037
551119,9036
1796,137
363602,83
491887,633
490455,202
557517,109
106370,101
119115,17
561951,47
551150,2081
234597,927
455489,131
355043,46
518043,68
436421,22
441633,2449
33380,88
488692,162
125062,31
299970,69
548202,593
380627,111
533353,44
485918,33
486352,4952
410114,254
560198,83
533701,4
121660,7877
495325,47
525996,117
538990,400
371148,283
517075,89
448722,75
492191,68
508452,172
533517,88
57636,2415
139906,542
344919,137
562016,498
545221,143
523469,47
226280,17
254995,5466
388677,128
520532,893
561027,29
45173,467
445751,30
430632,38
560151,4504
541771,172
543393,137
551169,9036
545897,9035
562335,5289
291146,592
278961,194
549740,166
252659,34
536139,194
518691,126
483320,424
485923,166
329413,20
550244,117
456536,156
524207,169
316991,153
183385,47
549219,10
343354,1455
395448,4640
225569,10
497703,2103
518617,136
296473,74
218084,62
529488,64
338010,68
283069,366
106597,74
448584,134
472144,169
71847,41
523968,328
508333,31
563568,20
539162,189
559029,144
231182,434
191879,213
215032,633
402676,76
531675,88
561185,238
532951,8
550063,874
552303,131
211876,68
562620,50
406377,1231
437477,94
386299,23
525208,35
316689,174
526053,50
285553,60
489637,85
30756,2058
563333,835
517575,71
548463,12002
538549,147
381508,528
409674,625
309750,662
562541,117
522178,102
319570,551
456561,1402
559274,29
376063,3
363349,155
563679,141
542495,391
355581,238
194121,4304
559125,47
533217,218
385330,47
272087,4053
425111,617
446323,104
380888,78
444191,283
483402,117
164101,109
551079,44
398928,213
558784,273
505809,17
530762,89
415995,68
234100,4198
502179,85
542063,89
290833,75
518617,13
555791,76
455453,117
560128,84
553550,117
518440,68
537998,4197
328530,238
521520,30
475852,467
535441,134
351564,36
67221,2873
534438,625
216030,74
342332,58
201665,204
560218,31
545921,88
499773,133
475040,5
429609,118
457073,53
217344,666
517101,47
488979,467
278933,137
375134,144
202606,67
455814,2302
270508,166
409195,144
463050,86
482799,111
487297,88
557470,137
33380,39
351281,190
387805,2
475197,136
548078,874
548253,128
548603,140
451675,114
376155,39
560828,340
392840,23
84633,366
522848,381
486571,199
519700,19
543540,625
353273,74
328577,69
531255,199
507674,22
505774,400
494506,104
228784,2103
123234,21
560237,222
559280,8
335593,4640
320958,163
412396,1730
400052,64
438804,541
67495,46
475366,161
526637,528
520843,74
293969,166
529645,381
506704,10
197492,44
541877,169
496746,4990
224019,668
521837,10
473709,31
517374,104
441762,112
193526,305
539283,4806
547942,124
257988,50
307147,7387
557516,109
551799,123
520846,9417
486062,44
366521,35
536619,83
318996,385
544491,72
440692,4
562296,125
19581,207
482361,47
57122,2885
534213,75
530846,144
554265,22
229257,22
125565,4073
556284,21
486350,4952
409689,9325
149193,174
401360,30
251532,185
520204,34
513795,112
505248,277
532978,85
517776,2609
119076,327
201638,5361
425667,4
561114,411
218093,642
35519,36
249077,169
217710,67
443277,19
228577,8
423736,635
470062,47
527003,69
559137,78
275409,104
305906,266
375319,126
542040,2609
475211,8
531216,86
529626,713
289999,137
559172,94
428275,400
10962,8
140730,427
430331,25
475435,46
492285,10
191820,109
521232,118
446394,114
517305,141
550629,2009
517415,163
538347,104
485996,143
494001,222
196097,21
147905,68
386461,106
554471,118
67158,743
549916,137
167080,23
547070,935
11682,33
483791,63
552050,137
563608,85
562745,74
550348,77
508186,250
405359,174
56846,2876
507958,117
537487,9
398928,2276
398928,142
559670,215
473345,51
397863,234
539234,24
451272,140
173902,467
448447,659
474699,13
559151,355
560774,3887
426630,186
550368,126
529934,71
183386,47
178169,102
139678,297
562903,88
353803,86
233007,913
558131,77
161700,2
433685,159
448581,9325
527785,86
512600,138
239559,434
229618,66
468179,117
563526,49
482442,4
490590,2302
485630,27
530835,118
543344,463
501315,939
542065,599
458384,408
125789,467
530883,9037
530296,633
556816,137
559053,31
526815,74
416053,144
483634,23
464839,104
202092,24
282116,96
516991,85
518195,2204
491030,19
535370,249
561160,2970
550375,10
559094,9035
485667,331
162505,31
547494,387
181053,3670
513893,39
383996,74
436249,104
366019,84
518488,68
283519,43
564652,137
518474,187
550312,35
255072,8
453967,69
292528,44
209826,254
517545,298
57432,74
521989,141
530692,38
370469,137
515545,38
349186,7092
518412,67
549181,70
533844,161
273061,174
473316,89
473896,400
117792,10
146169,169
543493,76
156218,96
119104,71
377420,5
561002,245
518256,39
516651,1297
562575,31
533838,668
531740,117
537998,117
523704,78
30782,8
459025,38
547895,271
483545,4
511247,7592
291090,112
357915,7893
511108,374
255294,68
490408,88
526410,12
226383,223
555090,117
403326,146
377576,5289
542878,7371
410052,31
354558,8338
401872,47
320813,84
541941,277
562707,434
521885,373
466933,112
471875,5
516926,10
562707,16
384485,1344
525603,207
157430,599
241768,85
438787,923
402282,159
279740,485
504045,541
466323,46
564476,54
