24072	545885
553805	2539
2536	553805
2537	553805
2535	553805
2536	2539
2537	2539
2535	2539
2536	2537
2535	2536
2535	2537
514654	532398
96310	532398
532398	24133
532398	169940
96310	514654
514654	24133
514654	169940
96310	24133
96310	169940
169940	24133
69182	69183
551003	95148
164944	479306
535346	557996
6437	6438
338005	22530
161531	451563
217595	11788
554550	451518
2275	2276
250637	397034
510448	485474
449805	307147
449805	11822
307147	11822
3242	3243
2047	2048
2047	2049
2048	2049
483300	533018
403485	403486
481153	397649
481153	543735
543735	397649
114025	12394
12394	397066
114025	397066
216914	216915
264215	401102
264215	13731
401102	13731
152128	521544
543597	565263
489657	565263
24590	565263
191820	565263
543597	489657
24590	543597
543597	191820
24590	489657
489657	191820
24590	191820
481114	481115
3188	481115
3188	481114
396709	512317
481145	218864
483871	438512
1774	530999
530999	1776
407833	530999
501232	530999
1774	1776
407833	1774
501232	1774
407833	1776
501232	1776
501232	407833
1326	438877
12316	297760
12316	556800
297760	556800
519818	12312
519818	404185
12309	519818
404185	12312
12309	12312
12309	404185
517044	450916
517044	409565
409565	450916
402028	425107
100136	528634
30778	6599
436917	74194
436917	348892
74196	436917
74197	436917
348892	74194
74196	74194
74197	74194
74196	348892
74197	348892
74197	74196
536696	536697
11931	11932
12361	12362
409563	532762
2740	2741
482078	2741
2739	2741
482078	2740
2739	2740
482078	2739
543444	543446
428707	11903
428707	478564
11903	478564
489793	118965
532951	10962
532951	558685
558685	10962
392859	3576
392859	78949
392859	78948
3576	78949
3576	78948
78948	78949
549387	486236
549387	4124
4124	486236
11972	11973
11971	11973
11970	11973
11971	11972
11970	11972
11970	11971
229088	118484
229088	560046
118484	560046
391847	513288
388764	501796
11903	478564
11903	11904
478564	11904
12162	542298
441185	560233
402689	560233
554417	560233
165632	560233
441185	402689
554417	441185
165632	441185
554417	402689
165632	402689
554417	165632
143822	15370
13198	13199
13197	13199
13196	13199
13197	13198
13196	13198
13196	13197
12270	12272
415445	12270
12270	483477
415445	12272
483477	12272
415445	483477
11072	11073
553223	11072
11071	11072
31436	11072
553223	11073
11071	11073
31436	11073
553223	11071
553223	31436
31436	11071
3435	44883
3435	485200
485200	44883
5533	5535
5533	68508
68508	5535
