pi_id,pi_name
90253,M. Corson
90401,Thiagarajan Ravichandran
90408,Richard Scherl
91170,Joan Novak
91250,Eric R. Hamilton
91261,Patricia McGinnis
91262,Anthony Shelborne
91263,Peter Kant
91398,Jack Minker
91528,Arthur Newton
91610,Juin Liou
91788,Arthur Delcher
91864,Benoit Dawant
91932,Jayne Salisbury
91997,Craig Harvey
92025,Eli Saber
92089,Jean Gallier
92118,Toniann Pitassi
92125,Eric Hanson
92127,Jeremy Spinrad
92131,Gregg Jernigan
92175,Grigoris Karakoulas
92201,Scott Weinstein
92203,Balaji Raghavachari
92224,Eugene Luks
92249,Robert Gillespie
92290,Omer Egecioglu
92292,Kenneth Regan
92323,David Helmbold
92590,Charles Coffey
93200,X. Mara Chen
93518,Christopher Keller
94116,Lucius Chiaraviglio
94260,Jundong Zhang
94533,Pei Cao
94627,Rimli Sengupta
94675,Nancy Reed
94744,Timothy Secomb
94745,Neil Mendelson
94759,Joseph DePinto
94777,Daniel Sperling
94783,Yannis Ioannidis
94786,Luiz DeRose
94796,Peter Nowak
94803,Joseph Devinny
94807,Conway Leovy
94810,Jin-Joo Song
94811,Jerzy Krasinski
94844,Jamshid Mahdavi
94961,Richard Kouzes
94963,Stuart Tewksbury
94964,Patrick Callery
94965,Ken Orgill
95099,Margaret Rawlings
95139,David Harnage
95140,Glen Wheless
95148,Isaac Weiss
95198,Ron Hay
95199,George Strain
95273,Gary Harkin
95280,Jayaram Sethuraman
95297,Edward Sciore
95299,Robert Signorile
95301,James Gips
95450,Elazer Edelman
95521,Leland Ellis
95564,Russ Jedlicka
95565,James LeBlanc
95619,Anupam Madhukar
95699,Gary Grest
95769,Doyle Friskney
95774,William Brownell
95776,John Halter
95901,Phillip Christie
96026,Gerhard Ritter
96209,Steven McCanne
96302,Casimir Kulikowski
96309,Pradeep Khosla
96310,Stephen C-Y. Lu
96339,George Cybenko
96365,Peter Jordan
96388,Francis Alexander
96403,Gary Dell
96404,Susan Garnsey
96412,George Gerstein
96413,John Hopfield
96414,Leif Finkel
96425,Claire Farley
96442,Adrienne Lee
96448,Randall O'Reilly
96449,Yuko Munakata
96648,Erik Antonsson
96793,Donald Gotterbarn
96812,Sidney Verba
96814,Nancy Cline
96815,Dale Flecker
96832,Bruce Rosenstock
96833,Samuel Armistead
96951,Vijay Jain
97031,John Rulnick
97080,Jonathan Rossie
97172,Martha Escobar-Molano
97176,Kim Reisinger
97258,Anurag Acharya
97332,Paul Viola
97363,John Lillis
97465,Timothy Huang
97479,Michael Johnston
97539,Robert Balzer
97540,Ronald Ohlander
97552,Rongnong Zhou
97571,Davan Weddle
97574,Bhavin Mehta
97577,Hans Kruse
97581,Barry Lindley
97582,Cesar Compadre
97583,Mitchell Hudson
97584,Richard Kirchmeyer
