pi_id,pi_name
30353,Galen Sasaki
30602,Costas Georghiades
30724,Philip Lowell Spike
30725,Paul Lustgraaf
30727,Paul Wirth
30730,G. Anthony Gorry
30739,Joe Pena
30754,Wayne Henegar
30756,Ronald Cohn
30757,Richard Dunn
30758,Valerie Freer
30759,Joe Shambley
30760,Warren Littlefield
30762,William Hunsberger
30763,Francis Arcangel
30764,Brian McLane
30774,Robert Almgren
30776,Robert Firby
30778,Charles Bender
30779,Alvin Stutz
30782,Gene Wallis
30787,Joseph Tafoya
30788,Gary Wheaton
30789,Edward Vargas
30790,Paul Bewley
30791,Bob Reed
30796,Steve Devan
30798,William Brand
30801,Stephen Patrick
30823,"Donald Mulch
30836,Martha Racine
30837,Robert Winn
30838,Teresa Sholars
30844,Lincoln Fuqua
30845,Monty Georgi
30851,Robert Jewett
30852,Kathleen Sipher
30881,John Copeland
31436,James Lawford Anderson
31477,Delores Etter
32296,Daniel Raviv
32414,Richard Cogger
32416,Melinda Shore
32568,Mary Humphries
32593,
32595,BALL BALL STATE UNIVERSITY
32722,N. Nandhakumar
32724,Arvind Ramadorai
32736,Edith Cohen
32845,Shahram Latifi
32846,Junichi Kanai
33012,Ronald Hutchins
33013,Amarnath Mukherjee
33072,Parvati Dev
33113,Mark Dubin
33128,Jim Walters
33129,Billie Hughes
33130,Joanne Talazus
33182,Jorge Garcia
33183,Lawrence Picus
33234,Ruth Lang
33275,Pasqualino Capeci
33276,Philip McLeod
33277,Alan Hecht
33380,
33401,Milan Sonka
33433,Raymond Kase
33434,Kathy Kalleker
33450,Jeffery Almoney
33451,Russell Vaught
33452,Steven Schroeder
33517,Ronnie Stephens
33527,David Frech
33528,R. J. Cifone
33529,Roy Burke
33530,Tracie Streltzer
33554,Robert Mondelli
33555,Theodore Laabs
33581,Jennifer Fajman
33585,Gordon Dalrymple
33586,Ibrahim Suleiman
33587,Ruth Hooten
33594,Mary Spence
33597,Dave DeRuwe
33598,Kenneth Werner
33600,Geraldine Grant
33602,William Grove
33623,Patrick Lepore
33624,Mignon Adams
33640,Earving Blythe
33659,Philip Hubbard
33676,D. James Turner
33677,Ted Mecurio
33682,James Jokl
33693,William Uttal
33695,Darwyn Linder
33702,Elizabeth Craft
33709,George Loftus
33711,Libby Flanagan
33726,Andrew Mickel
33727,Barbara Szurek
33736,Blakey Crowe
33737,Robbyn Bennett
33738,Kathleen Holliman
33753,Judith Icklan
33764,Jo-Ann Mancini
33765,Ronald Colvin
33768,E. Tad Reynales
33807,Denise LeSesne
33846,Tom Erwin
33848,Bing Inocencio
33850,Richard Yankosky
33854,Steven Chinn
33856,Thomas Tacke
33858,Andrew Hennessey
33859,Brad Rinas
33860,Dorothy Zeller
33861,Mark Coppin
33862,Roy Sheppard
33872,Andrew Cyr
33926,Ching-Chih Han
33928,Rex Gantenbein
33983,Suresh Chalasani
33996,Steven Bibyk
34049,George Stockman
34076,William Shankle
34094,Gary Powers
34117,Liang-Fang Chao
34118,Srini Tridandapani
34211,Jorge Lobo
34230,Mark Fanty
34250,Richard Peters II
34302,Martin Hamilton
34332,Susan Slotnick
34466,Cordell Green
34467,Richard Jullig
35149,Victor Zue
35151,Stephanie Seneff
35203,Michael Grigoriadis
35295,Eric Brill
35519,Jerry Hobbs
35520,Andrew Kehler
35637,George Lakoff
35638,Jerome Feldman
35701,Ricky Taira
35857,John Horty
36057,Sara Czaja
36058,Joseph Sharit
36059,Jeffrey Augenstein
36065,Sven Anderson
36076,Rangasami Kashyap
36078,Shankar Moni
36255,Alex Borgida
37090,Yibiao Pan
37641,J. Michael Ashley
37720,Marina Chen
37744,Lisa McIlrath
37806,Jong-Shi Pang
37838,Donald Fussell
37854,Patrick Loughlin
37878,Sushil Louis
38098,Marek Druzdzel
38113,Stephen Weiss
38120,Richard Statman
38134,David Nagle
38263,Joy Shetler
38297,Kenneth Yun
38301,Ian Horswill
38392,Elizabeth White
38475,Alfred Aho
38573,James Bunch
38604,Donald Loveland
38611,Peter Ney
38619,James Larus
38775,Aravinda Kar
38780,Matthew Ginsberg
38901,Bruce Mills
38902,Sandra McGuire
38935,Ernest Kuh
38970,Phyllis Crandall
39169,Edward Cooper
39170,William Ziegmond
39192,Erica Hansen
39222,Michael Slattery
39296,Patrick Calhoun
39617,Barry Trager
39765,Assunte Vigliante
39811,Jeanette Schmidt
39930,Peter Wegner
40399,Giampiero Pecelli
40411,Onuttom Narayan
40412,Ashok Erramilli
40439,Ioannis Stavrakakis
40445,Weidong Chen
40586,Richard B. Kieburtz
40607,Thomas E. Fuja
40744,Deborah Dunn
40745,Karlyn Barilovits
40746,Scott Kofroth
40747,John Williams
40869,Benedict Leimkuhler
40981,Deborah Whitfield
41078,Rajiv Bagai
41559,Greg Nichols
41625,John Pople
41727,Mark Karpovsky
41859,Michael Niemet
42635,Joseph Keller
42636,Andrew Stuart
42692,William Wells
42938,Larry Boersma
43328,John Bair
43555,J Catten
43556,Rex Jameson
43564,Tracy Thieret
43607,Lewis Branscomb
43608,Mark A. Luker
43711,Ann Bishop
43785,Michael Hind
43892,C.E. Tapie Rohm
43894,Frank Lin
43910,Lewis McCormick
44025,Alley Stoughton
44248,Carole Hafner
44536,James Lorenson
44537,Kathie Munn
44538,James Halverson
44539,Keith Beckman
44622,Jerome Bennett
44625,Elisabeth Perez-Luna
44808,Larry Palmer
44840,Mary Kate Worden
44883,Theodore Johnson
44888,Alan Biermann
44893,Edwin Rogers
44897,Matthew Champagne
44946,Kathy Liszka
45173,Susan Cromwell
45437,Rong-Sheng Jin
46066,Phillippe Loustaunay
46865,Jennifer McManis
48280,James Sasaki
48722,Eric Hood
48787,Nachum Dershowitz
48877,Stephen Athan
48899,Steven Rudich
48918,Alberto Apostolico
48970,Karl Ousterhout
48971,Ernest Fasse
49069,Charles Elkan
49243,Michael Stanisic
49383,Ronald Kriz
49397,Vipul Gupta
49421,Evaggelos Geraniotis
49423,Steven Tretter
49815,Maria Paola Bonacina
50058,Joseph R. Cavallaro
50113,David Rosenblum
50144,Amos Lapidoth
50196,Gwan Choi
50225,Robert Netzer
50266,Dana Henry
50284,Barak Pearlmutter
50470,Mark Moir
50486,Christopher Colby
50521,Adnan Aziz
50585,Ioannis Viniotis
50776,Srinivasan Keshav
50781,Michael Marefat
50782,Jack Gelfand
50854,Lubomir Bic
50855,Michael Dillencourt
50867,Jack Silverstein
51468,Rui de Figueiredo
51480,Nelson Passos
51481,Ranette Halverson
51536,Madalene Spezialetti
51686,John Zahorjan
52052,Haifan Lin
52185,Robert Owens
52482,Patrick Combettes
52508,Kaiping Li
52829,Terrance Swift
52831,Yella Pantula Ramakrishna
52873,Hisashi Kobayashi
52879,Hui Hai Liu
52899,Shari Pfleeger
53017,Evi Nemeth
53119,Andrew Pleszkun
53300,Paul Min
53576,Fangbing Wu
53687,Gershon Kedem
53996,Walling Cyre
54008,Larry H. Reeker
54165,Yun-Xin Fu
54362,Allen Gersho
54364,Vladimir Cuperman
54389,Lloyd Trefethen
54762,Benjamin Cowley
54991,Vibhu Mittal
56015,Steven Kimbrough
56016,Gerald Lohse
56470,Craig Labovitz
56564,Mike Carey
56584,Arthur Westerberg
56613,Howard Bocher
56614,Michael Matolyak
56615,Barbara Zaborowski
56622,John Leggett
56707,Howard Motteler
56716,John Christenberry
56747,Nazareno Rapagnani
56796,Gary Barbour
56820,Theodore Poehler
56823,David Binko
56845,Byron Thorsen
56846,Donald Frye
56863,George Laskaris
56864,Kathleen Ciociola
56883,Garland Elmore
56884,Christopher Peebles
56926,Randy Wright
56979,Sumanta Guha
57004,M Lynn
57005,David Wasley
57015,Xiaoguang Li
57020,"Paul Broadie
57021,Kevin Clancy
57023,Edward Mahon
57025,Dewitt Latimer
57093,James Luckett
57120,Sis. Marcella Garus
57121,Christine Palczewski
57122,Robert Struble
57139,Tad Pinkerton
57140,Michael Dorl
57141,Perry Brunelli
57194,C. Carl Jaffe
57195,Daniel Updegrove
57238,Jack Keck
57259,Jaime Ramirez-Angulo
57269,Lawrence Levine
57293,Nazir Warsi
57332,Imao Chen
57333,Ramesh Adusumilli
57334,Brajendra Panda
57432,Mark Leone
57434,R. Kent Dybvig
57527,Elizabeth O'Neil
57528,Patrick O'Neil
57552,Benjamin Zorn
57556,Sam Toueg
57636,Anthony Beckman
57637,Meena Shah
57638,Curtis Floyd
57639,Parkay Louie
57640,Walter Walters
57685,Frank Urban
57687,David Barton
57689,Chungmin Chen
57691,Maxim Chekmasov
57974,Stephen Wallace
57985,Jonathan Ostwald
58096,Khokiat Kengskool
58099,Carrol Christian
58100,Elaine Marshall-Asfour
58200,Lakshman Yagati
58360,Laszlo Lovasz
58411,Joseph Bannister
58726,Robert Minniti
58741,Richard Borie
58744,Patrick Gaughan
58814,John Wierman
58815,Jong-Shi Pang
58816,Leslie Hall
58819,Mary Lou Koran
58959,Forbes Lewis
59141,Hynek Hermansky
59958,Ian-Richard Robinson
60045,Marcel Waldvogel
60054,S. Louis Hakimi
60066,Marilynn Livingston
60085,Melody Moh
60089,Jaime Bae Kim
60234,Gail Whitney
60519,Howard Eichenbaum
60520,Judith Schickedanz
60534,Rachel Clifton
60535,Richard Sutton
60544,Isabel Beck
60549,William Skaggs
60585,Steven Weisler
60602,Roger Schank
60613,Sharolyn Converse
60619,Steven Greenberg
60693,Linda Seiter
60753,Robert Snapp
61443,Kenneth Prewitt
62499,Allen Van Gelder
62500,Patrick Mantey
62564,Richard Haddad
62566,Zoran Siveski
62860,David Musser
62861,Franklin Luk
62901,Richard Barr
62902,Eric Lin
62943,William Pearson
62976,Dennis McLeod
63059,Christopher Langton
63296,Michael Morreau
63347,Oliver McBryan
63357,Ming C. Leu
63643,Neil Helm
63730,Zbigniew Michalewicz
64009,Milos Ercegovac
64018,Dragan Maksimovic
64273,Reginald Eason
64393,Tomas Lang
64400,Murilo Coutinho
64474,Siddhartha Chatterjee
64731,Jaques DeVillers
64774,William Halal
64845,Patrice Simard
64848,Leon Bottou
64928,Paul Hart
65567,Ethel Briggs
65705,Earle Hunt
65763,Donald Bowden
65764,Eric Trahan
65765,Barbara Wardle
65766,Ginny Nyahay
65767,Ocia Fowler
66479,John Hummel
66605,James Armstrong
66606,F. Gail Gray
66647,John Holzrichter
66687,Peter Haddawy
66946,Ira Fuchs
67002,Stan McClellan
67004,Priscilla Hancock
67009,Harold Carter
67068,Elizabeth Hayes
67079,Jack Paris
67080,Elhami Ibrahim
67140,Larry Finkelstein
67142,Glenn Pierce
67144,Dianne Blackmer
67145,Tim Buenz
67148,Martin Dubetz
67151,Fred Hill
67154,Joel L. Hartman
67158,Daniel Rochowiak
67161,Sandra Redman
67163,John Moseley
67167,Peter Gerity
67168,Kim Marshall
67219,Jay Jones
67221,James Newton
67223,Rebecca Goolsby
67224,Ellen Manning
67262,Glenn Wilde
67289,Da-Hsuan Feng
67290,John Bielec
67291,Gregory Palmer
67296,Dennis Barnes
67300,David Swartz
67301,Alan Tottle
67313,Diana Blazis J
67315,Pamela Holley-Wilcox
67328,Lynn Cannon
67347,Kent Wilken
67384,Steven Gloss
67442,Donald Tufts
67479,John Proakis
67487,Will Gillett
67490,Barry Kalman
67495,Jack Holtzman
67532,Yosef Tirat-Gefen
67630,Daniel Cooke
67769,Chuck Song
67770,Richard Wilder
68143,Aluizio Prata
68374,Richard W. West
68508,Kevin Collins
68510,Jennifer Key
68595,Jane Armstrong
69168,Greg Frederickson
69182,Peter Cukor
69183,Joseph Potts
69356,Adrianos Papamarcou
69369,Keith Doty
69381,Robert Plemmons
69600,Shiaofen Fang
69809,Arthur Weeks
69811,Carl H. Smith
69852,"P. David Stotts
69968,Michael Fredman
70021,Yuri Gurevich
70022,Kevin Compton
70035,Howard Karloff
70278,Jarkko Kari
70292,Christopher Klug
70486,Alex Delis
70709,Bradley Adelberg
70713,D Sivakumar
70733,Gregory Leazer
70749,Bennet Yee
70935,Sekharipuram Ravi
71161,Timothy Schulz
71498,Edward K. Lee
71613,Chun-fan Chen
71847,Augustus Uht
73169,Susan Landau
73604,James Blair West
73856,Seth Wolpert
73917,Duane Wessels
74133,Satish Tripathi
74194,John Gore
74196,Thomas Egglin
74197,Forrester Lee
74315,Paul Krasucki
74418,Margaret Fleck
74434,Anand R. Tripathi
74506,Federico Girosi
74519,Nagabhushana Prabhu
74576,Doran Wilde
74796,Michael Luby
74947,David Meader
74990,Masoud Mohazzab
75111,Raghu Krishnapuram
75789,"Eugene de Juan
75790,Patrick Jensen
75856,Thomas Usselman
75924,Robin Stebbins
76122,Boaz Super
76213,Richard Belew
76214,Venkat Rangan
76668,Thomas Kerkhoven
77465,Prasad Jayanti
77514,Flaviu Cristian
77515,Christof Fetzer
77635,Albert Baker
77700,Yingqing Lu
77742,Ken Suyama
77826,Urs Hoelzle
77834,John Munson
77846,Uday Reddy
77869,Richard Carver
77969,Robert Gallager
78173,Richard Gerber
78436,T.R.N. Rao
78437,Gui-Liang Feng
78471,Harilaos Perros
78843,Magdy F. Iskander
78948,Leslie Trotter
78949,Yuying Li
78952,Shanthi Iyer
79014,Ronald Waxman
79100,Norman Linsky
79285,Jennifer Seitzer
79412,Celina Imielinska
79544,Anthony B. Maddox
79679,Alan Bawden
79696,Robert Muller
79756,Richard Osborne
79757,William McIver
79772,Prasanta Bose
80018,Ben Teitelbaum
80495,George Nakos
81369,Pina Cesar
81620,John Gyllenhaal
81621,Sabrina Yu-Ron Hwu
81730,San-Qi Li
81819,George Stiny
82176,Penny Powers
82183,E. Jerome Niebaum
82184,Michael Grobe
82203,Bruce Simon
82235,Isodoro Couvertier
82238,Gary Gajewski
82239,Vance Stone
82330,Mark Pendrith
82369,Katherine McCarville
82425,Peter Santago
82426,William Chimiak
82463,Harvard Townsend
82464,Jeanette Harold
82547,Bruce Petryshak
82576,Frank Miglorie
82577,Gerald Tofferi
82599,Gerald Dube
82605,Joseph Roos
82658,Peter Day
82659,Ramous Fields
82699,Christos Douligeris
82700,Michael Scordilis
82823,Vivian Fielder
82824,Horace Mann
82825,Elaine Eschen
82826,Timothy McNicholl
82857,Xiaojun Shen
82878,Owen Murphy
82906,Mikhail Auguston
82915,Patricia Hughes
83009,William Lenharth
83010,Jerry Olson
83064,Richard Volz
83431,Suad Alagic
83515,Timothy Hinds
83531,Lillian N. Cassel
84110,Thorsten von Eicken
84111,Praveen Seshadri
84113,Philippe Bonnet
84193,Kenneth Peffers
84211,F. Javier Lerch
84348,Willis King
84539,David Rine
84540,Nader Nada
84586,Jeffrey Pinto
84604,Sujata Banerjee
84633,Wei-Wen Yu
84660,Dan Olsen
84879,R. Heterick
85018,Nicholas George
85020,Michael Kriss
85115,Charles Eastman
85148,Paul Heckbert
85564,Qianhong Liu
85699,Marc Rotenberg
85933,Jadranka Skorin-Kapov
85952,arnold thackray
86229,Paul Sheng
86249,Todd Torgersen
86706,Cheuk Lam
86870,Theo Pavlidis
87052,Ali Akansu
87775,Hadi Akeel
87779,Steven Zeil
88538,Barrie Nault
88850,Cynthia Requardt
88868,Robin Sewell
88878,Nancy Allen
89044,Michael Insana
89283,Jeffrey Cruz
89349,Debra Keller
89351,Richard Klosterman
89387,Eric Aupperle
89388,Jeffrey Ogden
89417,Louis Hecht
89455,Robert Vietzke
89469,Jeffrey Schilit
89471,Walter McRae
89473,Gregory Ashley
89492,David Ballard
89493,Michael Dyre
89494,Adel Elmaghraby
89495,Charles Sites
89506,Lynne Anderson-Inman
89507,Nancy Willard
89511,Terrence Caelli
89626,Franz Kurfess
89627,Jerry Fjermestad
89651,Amr El Abbadi
89656,Suzanne Stevenson
89660,King-Ip Lin
89679,Ahmed Hambaba
89680,Leonard Wesley
89681,Simon Shim
89694,Thomas Schreiber
89698,Larry Wittie
89798,Walter Rudd
89862,Lois Boggess
89958,David Kincaid
